Country,Volume
United States,1523.6
Russian Federation,421.38
Nigeria,400.08
China,198.26
United Kingdom,193
Colombia,147.49
Kenya,91.96
South Africa,87
Canada,65.56
India,63.72
Australia,54.78
Argentina,47.85
Peru,44.69
Philippines,30.77
Thailand,27.23
Brazil,25.22
Chile,23.81
Mexico,23.47
Sweden,23.38
Hong Kong,20.09
Ukraine,18.02
Malaysia,17.04
Pakistan,12.4
Viet Nam,12.12
Singapore,10.64
New Zealand,9.92
Saudi Arabia,9.87
Indonesia,8.84
Morocco,8.28
Switzerland,7.86
Dominican Republic,7.52
United Arab Emirates,7.51
Japan,6.66
Turkey,5
Romania,4.79
Norway,4.5
Kazakhstan,4.3
Poland,4.08
"Tanzania, United Republic of",3.72
Denmark,1.46
Czechia,1.11
Croatia,0.18
Hungary,0.17